state_id,state,owner,entry,required_artifact,pass_condition,allowed_next,return_or_failure,global_precondition
S10,CLEANING_TRANSFORMATION_SCALE_FREEZE,02_EMPIRICAL,"BLIND_DISTRIBUTION_AUDIT_STATUS=PASS + MISSING_DATA_STATUS∈{PASS,NOT_APPLICABLE}",cleaning/transform/scale decision; missing/imputation decision only if MISSING_FULL_AUDIT_TRIGGER=YES,CLEANING_TRANSFORMATION_FREEZE_STATUS=PASS,S11,S09,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S11,REBUILD_CLEAN_PANEL_QA,02_EMPIRICAL,CLEANING_TRANSFORMATION_FREEZE_STATUS=PASS,clean panel; full post-clean QA only if data/sample/transform/aggregation changed,CLEAN_PANEL_QA_STATUS=PASS,S12,S10,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S12,DATA_IDENTITY_AND_PREOUTCOME_MEASUREMENT_VALIDATION,02_EMPIRICAL,CLEAN_PANEL_QA_STATUS=PASS + EMPIRICAL_EXECUTION_CLASS=PREOUTCOME_MEASUREMENT_VALIDATION before any outcome-bearing execution,identity/measurement audit; SYSTEM_IDENTITY_STATUS if triggered,"DATA_IDENTITY_STATUS=PASS & MEASUREMENT_STATUS=PASS & SYSTEM_IDENTITY_STATUS∈{PASS,NOT_APPLICABLE}",S13,repair/refreeze,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S13,FREEZE_A_SCREEN_DECISION_AND_REUSE_POLICY,02_EMPIRICAL,"DATA_IDENTITY_STATUS=PASS + MEASUREMENT_STATUS=PASS + SYSTEM_IDENTITY_STATUS∈{PASS,NOT_APPLICABLE}",FREEZE_A record; screen applicability decision; SCREEN_DATA_REUSE_POLICY frozen before any effect is opened,"OUTCOME_SCREEN_APPLICABILITY∈{APPLICABLE,NOT_APPLICABLE} & SCREEN_DATA_REUSE_POLICY frozen & WITHIN_STUDY_MULTIPLICITY_STATUS∈{PASS,NOT_APPLICABLE} & BLINDNESS_LEVEL∈{B0_STRUCTURE_ONLY,B1_MARGINAL_OUTCOME_BLIND,B2_DESIGN_SUPPORT_EFFECT_MASKED}",OUTCOME_SCREEN_APPLICABILITY=APPLICABLE & SCREEN_START_AUTHORIZATION=EXPLICIT_USER_AUTHORIZATION→S15; OUTCOME_SCREEN_APPLICABILITY=NOT_APPLICABLE→S17,return exact upstream; OUTCOME_SCREEN_APPLICABILITY=BLOCKED→resolve before proceeding,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S15,OUTCOME_DECISION_SCREEN_EFFECT_OPEN,02_EMPIRICAL,EMPIRICAL_EXECUTION_CLASS=OUTCOME_DECISION_SCREEN + SCREEN_DATA_REUSE_POLICY frozen + SCREEN_START_AUTHORIZATION=EXPLICIT_USER_AUTHORIZATION,screen execution log; SEEN_DATA_STATUS updated at effect open,SCREEN_STATUS=COMPLETE & BLINDNESS_LEVEL=B3_EFFECT_OPEN,S16,diagnose/repair at the diagnosed failure layer only,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S16,SCREEN_DIAGNOSIS_AND_RESOURCE_ADJUDICATION,02_EMPIRICAL,SCREEN_STATUS=COMPLETE,SCREEN_FAILURE_DIAGNOSIS when abnormal; resource-allocation verdict,"SCREEN_STATUS=COMPLETE & SCREEN_VERDICT∈{CONTINUE,CONTINUE_WITH_REVISION,STOP_RESOURCE_ALLOCATION,NOT_ADJUDICATED}","SCREEN_VERDICT∈{CONTINUE,CONTINUE_WITH_REVISION}→S17; SCREEN_VERDICT=STOP_RESOURCE_ALLOCATION→S24; SCREEN_VERDICT=NOT_ADJUDICATED→return",repair only at diagnosed failure layer; claim-changing repair→new branch; the screen never establishes an economic null,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S17,PRE_FORMAL_L4_RECHECK,01_CORE,"SCREEN_VERDICT∈{CONTINUE,CONTINUE_WITH_REVISION} or OUTCOME_SCREEN_APPLICABILITY=NOT_APPLICABLE",freshness sentinel or full update record; literature-selection hurdle assessment,"L4_PHASE=PRE_FORMAL_RECHECK & PRE_FORMAL_L4_STATUS=COMPLETE & PRE_FORMAL_L4_VERDICT=PASS_TO_FORMAL_IDENTIFICATION & LITERATURE_SELECTION_HURDLE_STATUS∈{PASS,NOT_APPLICABLE}",S18,"PRE_FORMAL_L4_VERDICT∈{STOP_COLLISION,STOP_SO_WHAT,STOP_CONSTRUCT}→S24; RETURN_FOR_REFREEZE→refreeze","SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S18,FORMAL_IDENTIFICATION_STRENGTHENING,02_EMPIRICAL,PRE_FORMAL_L4_STATUS=COMPLETE + PRE_FORMAL_L4_VERDICT=PASS_TO_FORMAL_IDENTIFICATION,formal design/inference plan,FORMAL_IDENTIFICATION_STATUS=PASS,S19,"FORMAL_IDENTIFICATION_STATUS∈{REVISE,RETURN_FOR_REFREEZE}→refreeze; FORMAL_IDENTIFICATION_STATUS=BLOCKED→hold","SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S19,FREEZE_B_FORMAL_MAIN_SPEC,02_EMPIRICAL,FORMAL_IDENTIFICATION_STATUS=PASS + EMPIRICAL_EXECUTION_CLASS=FORMAL_STUDY,Freeze B formal main-spec record,"FREEZE_LAYER=FREEZE_B_FORMAL_MAIN_SPEC & FREEZE_STATUS=COMPLETE & SPECIFICATION_SEARCH_STATUS∈{PASS,NOT_APPLICABLE} & ECONOMIC_THRESHOLD_STATUS∈{PASS,NOT_APPLICABLE} & SCREEN_DATA_REUSE_POLICY honoured in the frozen sample rule",S20,CLAIM_DRIFT=YES→refreeze/new branch,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S20,FORMAL_MAIN_ESTIMATION_AND_RESULT_QA,02_EMPIRICAL,FREEZE_LAYER=FREEZE_B_FORMAL_MAIN_SPEC + FREEZE_STATUS=COMPLETE + EMPIRICAL_EXECUTION_CLASS=FORMAL_STUDY,formal main results + execution/result QA + Seen Data update,FORMAL_MAIN_RESULT_STATUS=COMPLETE,S21,implementation/data bug→legal repair and rerun frozen spec; claim-changing issue→new branch/refreeze,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S21,MECHANISM_ROBUSTNESS_IF_TRIGGERED,01_CORE + 02_EMPIRICAL + project method,FORMAL_MAIN_RESULT_STATUS=COMPLETE,mechanism/robustness package only if triggered,"MECHANISM_ROBUSTNESS_STATUS∈{COMPLETE,NOT_APPLICABLE}",S22,result-driven new tests remain EXPLORATORY,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S22,WRITING_CLAIM_CEILING,01_CORE + 07_GOVERNANCE,"FORMAL_MAIN_RESULT_STATUS=COMPLETE + MECHANISM_ROBUSTNESS_STATUS∈{COMPLETE,NOT_APPLICABLE}",paper/exhibits/claim ceiling,WRITING_STATUS=COMPLETE,S23,revise writing only; no confirmatory redesign,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S24,TERMINATED_BRANCH_ARCHIVE,07_GOVERNANCE,"any STOP or STOP_RESOURCE_ALLOCATION verdict from S02, S04, S06, S16 or S17","termination record with reusable assets, cooldown key and reopen conditions",TERMINATION_ARCHIVE_STATUS=COMPLETE & TERMINATION_REASON recorded & FAILURE_CLASS recorded & SEEN_DATA_STATUS recorded,END,reopen only via GOV-COOLDOWN01 with auditable new evidence,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S23,ARCHIVE_REGISTRY,07_GOVERNANCE,WRITING_STATUS=COMPLETE,archive/registry/release,ARCHIVE_STATUS=COMPLETE,END,-,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
