field,allowed_values,type
MILESTONE_CLASS,PRE_L4_CLAIM_FREEZE;METHOD_OR_DATA_FREEZE;FREEZE_A_SCREEN_DECISION;SCREEN_RESULT_HANDOFF;PRE_FORMAL_L4_HANDOFF;FREEZE_B_FORMAL_MAIN_SPEC;FORMAL_MAIN_RESULT;FORMAL_DATASET_RELEASE;FORMAL_CODE_RELEASE;CROSS_CONVERSATION_CANONICAL_HANDOFF;FINAL_PAPER_OR_MAJOR_SECTION;SKILL_RELEASE;ARCHIVE;TERMINATED_BRANCH_ARCHIVE;NOT_APPLICABLE,enum
SEEN_DATA_STATUS,NONE;BLIND_DIAGNOSTIC_ONLY;EFFECT_SEEN;UNKNOWN,enum
EXECUTION_BLOCKER_CLASS,ENTITLEMENT_OR_ACCESS;COST;ETHICS_OR_APPROVAL;RECRUITMENT_OR_LABEL_SUPPLY;TOOLING_OR_ENVIRONMENT;TIME_BUDGET;NONE;NOT_APPLICABLE,enum
GENERATED_DRIFT,YES;NO,enum
FINGERPRINT_STATUS,MATCH;MISMATCH;NOT_DECLARED,enum
ATTESTATION_STATUS,PRESENT_AND_MATCHING;PRESENT_AND_MISMATCHED;ABSENT;NOT_APPLICABLE,enum
CENSUS_STATUS,NOT_STARTED;CENSUS_PARTIAL;CENSUS_COMPLETE_PRE_L4,enum
RESEARCH_CENSUS_VERDICT,STOP_COLLISION;STOP_SO_WHAT;STOP_CONSTRUCT;NARROW;PASS_TO_PRE_L4,enum
PRE_L4_EXECUTION_READINESS,READY;CONDITIONAL;TEMPORARILY_BLOCKED;STRUCTURALLY_BLOCKED;NOT_APPLICABLE,enum
L4_PHASE,PRE_PILOT;PRE_FORMAL_RECHECK,enum
L4_STATUS,NOT_STARTED;IN_PROGRESS;BLOCKED;PARKED_BLOCKED;TERMINATED_EARLY;RETURNED_FOR_REFREEZE;COMPLETE,enum
L4_VERDICT,L4_STOP_COLLISION;L4_STOP_SO_WHAT;L4_STOP_CONSTRUCT;L4_BLOCKED_EVIDENCE;L4_BLOCKED_ACCESS;L4_NARROW;L4_PASS_TO_METHOD_DESIGN;NOT_ADJUDICATED_CLAIM_DRIFT,enum
METHOD_DESIGN_STATUS,PASS;REVISE;BLOCKED;RETURN_FOR_REFREEZE;STOP,enum
REALITY_ACCESS_STATUS,PASS;CONDITIONAL;BLOCKED,enum
RAW_DATA_QA_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
DERIVED_VARIABLE_CONSTRUCTION_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
BLIND_DISTRIBUTION_AUDIT_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
CLEANING_TRANSFORMATION_FREEZE_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
CLEAN_PANEL_QA_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
DATA_IDENTITY_STATUS,PASS;CONDITIONAL;BLOCKED,enum
MEASUREMENT_STATUS,PASS;CONDITIONAL;BLOCKED,enum
SCREEN_STATUS,NOT_STARTED;IN_PROGRESS;BLOCKED;REPAIRING;COMPLETE;NOT_APPLICABLE,enum
SCREEN_VERDICT,CONTINUE;CONTINUE_WITH_REVISION;STOP_RESOURCE_ALLOCATION;NOT_ADJUDICATED;NOT_APPLICABLE,enum
BLINDNESS_LEVEL,B0_STRUCTURE_ONLY;B1_MARGINAL_OUTCOME_BLIND;B2_DESIGN_SUPPORT_EFFECT_MASKED;B3_EFFECT_OPEN,enum
FREEZE_LAYER,FREEZE_A_SCREEN_DECISION;FREEZE_B_FORMAL_MAIN_SPEC,enum
FAILURE_CLASS,NOVELTY_OR_REDUNDANCY;SO_WHAT_OR_CONCEPTUAL;ACCESS;IMPLEMENTATION;DATA_IDENTITY;DATA_QUALITY;MEASUREMENT;SAMPLE_SUPPORT_OR_PRECISION;CONSTRUCT;IDENTIFICATION;ESTIMATOR_OR_INFERENCE;ECONOMIC_CRITERION;MULTIPLE;NOT_YET_CLASSIFIED,enum
PATH_TYPE,PROJECT_LOCAL;PROJECT_WORKSPACE;HOST_STORAGE_REF;CONNECTED_SOURCE_REF;EXTERNAL_SOURCE;UNKNOWN,enum
MISSING_DATA_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
IMPUTATION_DECISION,NO_IMPUTATION;POINT_IN_TIME_IMPUTATION;MODEL_BASED_IMPUTATION;EXPLORATORY_ONLY;NOT_APPLICABLE,enum
SESSION_CONTEXT_STATUS,NOT_REQUIRED;REQUIRED;COMPLETE;BLOCKED,enum
LATEST_TRANSCRIPT_FULL_LINEAR_READ,YES;NO;NOT_APPLICABLE,enum
CONCRETE_PROBLEM_SPECIAL_CASE,YES;NO,enum
METHOD_GAP,YES;NO,enum
WITHIN_STUDY_MULTIPLICITY_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
HYPOTHESIS_ROLE,PRIMARY;CO_PRIMARY;SECONDARY_CONFIRMATORY;EXPLORATORY,enum
MULTIPLICITY_CLAIM_LOGIC,ANY_OF_MANY;ALL_CO_PRIMARY_REQUIRED;ORDERED_HIERARCHY;OMNIBUS_OR_INDEX_FIRST;DISCOVERY_FAMILY;SEPARATE_SCIENTIFIC_CLAIMS,enum
MULTIPLICITY_ERROR_CRITERION,FWER;FDR;HIERARCHICAL_GATEKEEPING;OMNIBUS_OR_INDEX;PROJECT_SPECIFIC;NOT_APPLICABLE,enum
THRESHOLD_CONFLICT_STATUS,NONE;RESOLVED_PRE_B3;THRESHOLD_SET_FROZEN;UNRESOLVED;NOT_APPLICABLE,enum
THRESHOLD_SENSITIVE,YES;NO;NOT_APPLICABLE,enum
PRE_FORMAL_L4_STATUS,NOT_STARTED;IN_PROGRESS;BLOCKED;COMPLETE;RETURNED_FOR_REFREEZE,enum
PRE_FORMAL_L4_VERDICT,STOP_COLLISION;STOP_SO_WHAT;STOP_CONSTRUCT;NARROW;PASS_TO_FORMAL_IDENTIFICATION;BLOCKED_EVIDENCE;RETURN_FOR_REFREEZE,enum
CANONICAL_VERSION_STATUS,RESOLVED;VERSION_COLLISION;BRANCH_AMBIGUITY;NO_STABLE_RELEASE;NOT_APPLICABLE,enum
RELEASE_STATUS,STABLE;DRAFT;PRERELEASE;DEPRECATED,enum
TRANSCRIPT_COMPLETENESS_STATUS,VERIFIED_COMPLETE;OPERATIONALLY_COMPLETE;PARTIAL;UNKNOWN;NOT_APPLICABLE,enum
TRANSCRIPT_GAP_IMPACT,NONE;NON_MATERIAL;MATERIAL;UNKNOWN;NOT_APPLICABLE,enum
AUDIT_MODE,ON;OFF,enum
AUDIT_SCOPE,CURRENT_WORKFLOW;PROJECT_STATE;CURRENT_CONVERSATION;NOT_APPLICABLE,enum
WORKFLOW_AUDIT_STATUS,PASS;PASS_WITH_GAPS;BLOCKED,enum
GATE_ACTIVATION_CLASS,ALWAYS_ON;TRIGGERED;MILESTONE_ONLY;STALE_OR_CHANGED_ONLY;NOT_APPLICABLE,enum
ECONOMIC_THRESHOLD_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
MISSING_FULL_AUDIT_TRIGGER,YES;NO;NOT_APPLICABLE,enum
CLEAN_DATA_CHANGE_STATUS,NO_DATA_CHANGE;VALUES_CHANGED;SAMPLE_CHANGED;TRANSFORMATION_CHANGED;AGGREGATION_CHANGED;MULTIPLE_CHANGES,enum
PRE_FORMAL_L4_MODE,SENTINEL_ONLY;FULL_UPDATE;RETURN_FOR_REFREEZE,enum
SCREEN_START_AUTHORIZATION,EXPLICIT_USER_AUTHORIZATION;NOT_AUTHORIZED,enum
FREEZE_STATUS,NOT_STARTED;IN_PROGRESS;BLOCKED;COMPLETE,enum
EMPIRICAL_EXECUTION_CLASS,TECHNICAL_PROBE;PREOUTCOME_MEASUREMENT_VALIDATION;OUTCOME_DECISION_SCREEN;FORMAL_STUDY,enum
SYSTEM_IDENTITY_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
FORMAL_MAIN_RESULT_STATUS,NOT_STARTED;IN_PROGRESS;BLOCKED;COMPLETE,enum
CLAIM_DRIFT,YES;NO,enum
HUMAN_SUBJECTS_REQUIRED,YES;NO;CONDITIONAL,enum
QUESTION_FORMATION_STATUS,PASS;REVISE;BLOCKED,enum
PRE_L4_CLAIM_FREEZE_STATUS,NOT_STARTED;IN_PROGRESS;BLOCKED;COMPLETE,enum
FORMAL_IDENTIFICATION_STATUS,PASS;REVISE;BLOCKED;RETURN_FOR_REFREEZE,enum
MECHANISM_ROBUSTNESS_STATUS,NOT_STARTED;IN_PROGRESS;BLOCKED;COMPLETE;NOT_APPLICABLE,enum
WRITING_STATUS,NOT_STARTED;IN_PROGRESS;BLOCKED;COMPLETE,enum
ARCHIVE_STATUS,NOT_STARTED;IN_PROGRESS;BLOCKED;COMPLETE,enum
MULTIPLICITY_LEDGER_REQUIRED,YES;NO,enum
TASK_CLOSURE_STATUS,NOT_STARTED;IN_PROGRESS;PASS;FAIL;BLOCKED;NOT_APPLICABLE,enum
TASK_CLOSURE_DEPTH,LIGHT;MILESTONE,enum
REVALIDATE_AFTER_LAST_CHANGE,YES;NO;NOT_APPLICABLE,enum
RECOVERY_MODE,ON;OFF,enum
