rule_id,source,source_type,edition_year,chapter_section,page_or_article_locator,doi_or_stable_id,fulltext_verified,transfer_scope,transfer_status,claim_supported,claim_not_supported
EMP-DATA09F,"Bryzgalova, Lerner, Lettau & Pelger, Missing financial data",PEER_REVIEWED_APPLICATION,2025,missingness patterns in firm characteristics; downstream effects,Rev Financ Stud 38(3):803-882,10.1093/rfs/hhae036,YES,"finance firm-characteristic panels; risk premia, anomalies, portfolio construction",TRANSFERABLE_WITH_ADAPTATION,firm-characteristic missingness is widespread and systematic; naive complete-case or median imputation distorts asset-pricing quantities,that the same distortion metrics define downstream validation for a causal treatment-effect estimand
EMP-DATA06,"Leone, Minutti-Meza & Wasley, Influential observations and inference in accounting research",PEER_REVIEWED_METHOD,2019,"simulation evidence on winsorization, truncation and robust regression",Account Rev 94(6):337-364,10.2308/accr-52396,YES,influential-observation diagnosis in linear models,TRANSFERABLE_WITH_ADAPTATION,winsorization and truncation are not substitutes for influential-observation analysis; residual and weight based diagnostics address a different question,that robust regression is universally correct
EMP-PANEL02,"Wooldridge, Econometric Analysis of Cross Section and Panel Data",TEXTBOOK,2010,"2nd ed.; section 4.4 Properties of Ordinary Least Squares under Measurement Error (pp.76-82); section 19.9 Sample Selection and Attrition in Linear Panel Data Models (p.827), with 19.9.1 Fixed and Random Effects Estimation with Unbalanced Panels (p.828), 19.9.2 Testing and Correcting for Sample Selection Bias (p.832), 19.9.3 Attrition (p.837); section 20.3 Cluster Sampling (p.863)","pp.76-82, 827-845, 863",MIT Press ISBN 978-0-262-23258-6,YES,Supports distinction between raw observations and effective independent variation under clustering/high-frequency dependence and short calendar span.,TRANSFERABLE_WITH_ADAPTATION,Supports distinction between raw observations and effective independent variation under clustering/high-frequency dependence and short calendar span.,Does not imply a universal minimum cluster count.
EMP-SAMPLE03,"Campbell, Lo & MacKinlay, The Econometrics of Financial Markets",TEXTBOOK,1997,1st ed.; Ch.4 Event-Study Analysis (p.149); section 4.4.6 Inferences with Clustering (p.166); section 4.5 Modifying the Null Hypothesis (p.167); section 4.6 Analysis of Power (p.168); section 4.9 Further Issues (p.174); section 4.9.1 Role of the Sampling Interval (p.175); section 4.9.2 Inferences with Event-Date Uncertainty (p.177); section 4.9.3 Possible Biases (p.177),"pp.149, 166-169, 174-177",Princeton University Press ISBN 978-0-691-04301-2,YES,"Supports event-study power dependence on effect size, variance, N, sampling interval and event-date uncertainty.",TRANSFERABLE_WITH_ADAPTATION,"Supports event-study power dependence on effect size, variance, N, sampling interval and event-date uncertainty.",Does not prescribe one universal event window/sample size; intraday application needs microstructure-specific handling.
EMP-SAMPLE04,"Hasbrouck, Empirical Market Microstructure",TEXTBOOK,2007,"1st ed.; Ch.1 Introduction, section 1.4 Econometric Issues (p.6). Section 1.5 begins on p.7, so 1.4 sits entirely on p.6",p.6,Oxford University Press ISBN 978-0-19-530164-9,YES,Supports reporting/considering independent event/cluster structure rather than raw rows.,TRANSFERABLE_WITH_ADAPTATION,Supports reporting/considering independent event/cluster structure rather than raw rows.,Does not provide a universal sample-size cutoff.
EMP-THRESH02,"Bali, Engle & Murray, Empirical Asset Pricing - The Cross Section of Stock Returns",TEXTBOOK,2016,"1st ed.; Ch.6 Fama and MacBeth Regression Analysis, section 6.2 Interpreting FM Regressions (pp.95-98); magnitude discussion opens on p.96. Supporting sections 2.1-2.2 Summary Statistics (pp.9-16) for the cross-sectional dispersion inputs, and Ch.5 Portfolio Analysis section 5.1.5 (p.43) for the high-minus-low variant.",p.96 (three interchangeable scales); pp.97-98 (worked examples),Wiley ISBN 978-1-118-58947-1,YES,"Supports translating regression coefficients into economically interpretable scales (SD, percentile/IQR, high-low portfolio spreads).",TRANSFERABLE_WITH_ADAPTATION,"Supports translating regression coefficients into economically interpretable scales (SD, percentile/IQR, high-low portfolio spreads).",Does not define a universal SESOI/economic minimum or support ScholarOps evidence-priority hierarchy by itself.
EMP-DATA06,"Bali, Engle & Murray, Empirical Asset Pricing - The Cross Section of Stock Returns",TEXTBOOK,2016,"1st ed.; Ch.1 Preliminaries, section 1.2 Winsorization and Truncation (pp.5-6)",p.5,Wiley ISBN 978-1-118-58947-1,YES,"Supports that winsorization/truncation are common, comparatively ad hoc tail-handling conventions in empirical asset pricing.",TRANSFERABLE_WITH_ADAPTATION,"Supports that winsorization/truncation are common, comparatively ad hoc tail-handling conventions in empirical asset pricing.",Does not prove a universal cutoff and does not establish winsorization as an influence-diagnostic solution.
EMP-MULT04,"FDA, Multiple Endpoints in Clinical Trials - Guidance for Industry",REGULATORY_GUIDANCE,2022,"final guidance October 2022, superseding the 13 January 2017 draft; section II.C Multiplicity (pp.5-6); section III.A The Hierarchy of Families of Endpoints (pp.6-8); section III.B Type II Error Rate and Sample Size (p.8); section IV Methodological Considerations (p.13); Appendix: Statistical Methods (pp.18-26)",Docket FDA-2016-D-4460; grouping criterion and three-tier hierarchy at p.6; secondary and exploratory treatment at p.7; co-primary power arithmetic at p.8; Hochberg assumption caveat at pp.19-20; resampling caveats at p.21; nonbinding status at p.2,https://www.fda.gov/media/162416/download,YES,"ordering and grouping of endpoints before multiplicity adjustment, in a regulatory drug-efficacy setting",TRANSFERABLE_WITH_ADAPTATION,"p.6 states the grouping criterion, and it is sharper than clinical importance alone: the critical determination is whether an endpoint is intended to establish effectiveness or to demonstrate additional effects, with expected event frequency and anticipated effect also considered. The hierarchy has exactly three tiers, primary, secondary and exploratory, and each may hold one endpoint or a family. p.7 gives two consequences the skill now carries: exploratory endpoints need no multiplicity adjustment because they are not used to support conclusions, and secondary results are interpretable only after an effect on the primary family is shown, with the overall Type I error rate controlled across primary and secondary families together. The same page warns against long secondary lists, since adjustment shrinks the chance any secondary shows an effect and a hierarchy may mean lower ones are never reached. p.5 gives the arithmetic behind the gate, two independent endpoints roughly doubling the error rate, three reaching about 7 per cent and ten about 22 per cent, and states the sequencing principle that all endpoints, time points, populations and analyses are prespecified first and the adjustment chosen afterwards. p.8 quantifies the co-primary trade-off: two independent endpoints each powered at 80 per cent give about 64 per cent joint power","any alpha number, any approval standard, and any promotion of a secondary endpoint after a primary fails. The scope limits are explicit. p.2 states that guidances are nonbinding and that should means suggested, not required. p.2 also confines the document to multiple endpoints within a single trial and says other sources of multiplicity, including multiple doses, time points and subgroups, are not specifically addressed, so this row cannot be cited for the skill's subgroup or horizon entries. Safety analyses outside a prespecified testing set are out of scope. The appendix constrains method choice rather than endorsing it: pp.19-20 record that the Hochberg procedure is not assumption-free and can fail for some negatively correlated tests, and p.21 notes resampling rests on assumptions difficult to verify and usually needs large samples"
EMP-THRESH03,"Lakens, Equivalence tests - a practical primer for t tests, correlations, and meta-analyses",PEER_REVIEWED_METHOD,2017,introduction and Testing for Equivalence (pp.355-356); Equivalence Tests for Differences Between Two Independent Means (pp.356-358) with Table 1 sample sizes (p.358); Setting Equivalence Bounds (pp.359-360); Discussion (pp.360-361),Soc Psychol Personal Sci 8(4):355-362; the four possible outcomes and Figure 1 at p.356; sample-size cost in Table 1 at p.358; the resource-determined bound and its worked numbers at p.359; operationalisation and competence limits at p.360,10.1177/1948550617697177,YES,"concluding the absence of a meaningful effect, given a pre-specified bound",TRANSFERABLE_WITH_ADAPTATION,"p.355 draws the distinction the rule rests on: it is statistically impossible to support the hypothesis that a true effect is exactly zero, but it is possible to reject effects large enough to be worthwhile, which is what the two one-sided tests procedure does against bounds set from the smallest effect size of interest. The same page documents how common the error is, with the phrase no effect appearing in 108 articles in one journal up to August 2016 almost always on the basis of nonsignificance, and Finch and colleagues reporting that around 38 per cent of articles with nonsignificant results in one applied journal accept the null. p.356 supplies the outcome table the skill now uses: with both a significance test and an equivalence test there are four results, not two, since an effect can be equivalent and not different, different and not equivalent, both different and equivalent, or undetermined, and the last of these is the honest verdict when the data settle nothing. The same page notes the 90 per cent interval is the right one because two one-sided tests are run at 5 per cent each. p.359 gives the bound-setting rule for the common case where theory fixes no boundary: set the bound to the smallest effect the available resources give sufficient power to detect, so that the maximum sample size one is willing to collect implicitly determines the smallest effect size of interest; with 100 per condition at 80 per cent power and alpha .05 that is about 0.414 for the equivalence test. p.358 prices the alternative, with a bound of d = 0.1 needing 1,713 per group at 80 per cent power against 191 at d = 0.3. p.359 also requires that when equivalence is claimed in an abstract, the bounds used be stated there too","that equivalence means an effect is absent, or absent for anyone. p.359 is explicit that bounds set from a researcher's own resources do not license a conclusion that the effect is too small to matter to others, who may reasonably fund a larger study. p.360 adds three further limits the rule now carries: the conclusion holds for the specific operationalisation tested and a different manipulation or measure may still show an effect; confounds can produce apparent equivalence; and whether the experiment was performed competently is a non-statistical question that no equivalence test settles, which the paper describes as an inherent asymmetry between showing an effect and showing the absence of a worthwhile one, resolvable only by independent replication. Nothing here supplies an economic minimum, which remains the analyst's burden under EMP-THRESH02"
EMP-MULT03,"Benjamini & Hochberg, Controlling the false discovery rate - a practical and powerful approach to multiple testing",PEER_REVIEWED_METHOD,1995,Summary and Introduction (pp.289-290); section 2.1 Definition of False Discovery Rate (p.291); section 2.2 Examples (p.292); section 3.1 The Procedure and Theorem 1 (p.293); section 3.2 worked example (pp.294-295); section 3.3 Theorem 2 (p.295); section 4 power comparisons (pp.296-298); section 5 Conclusion (p.298),J R Stat Soc B 57(1):289-300; FDR definition and its two properties at p.291; the three example types including screening at p.292; Theorem 1 and its independence condition at p.293; the mortality example at p.295; weak FWER control restated at p.298,10.1111/j.2517-6161.1995.tb02031.x,YES,large exploratory families where the expected proportion of false rejections is the quantity of interest,TRANSFERABLE_WITH_ADAPTATION,"p.291 defines the false discovery rate as the expected proportion of erroneous rejections among the rejected hypotheses and establishes the two properties that place it in the skill's hierarchy: when every null is true the FDR coincides with the familywise rate, so controlling FDR gives familywise control only in the weak sense, and when some nulls are false the FDR is no larger than the familywise rate, so any procedure controlling FWER already controls FDR while the converse buys power. p.290 states when the weaker criterion is appropriate, namely when a treatment and a control are compared on several aspects of one effect and the overall conclusion need not be wrong even if some individual nulls are falsely rejected. p.292 names the screening case directly, where many candidate effects are sifted and the concern is that too large a fraction of false leads would burden a second, confirmatory phase, which is exactly the skill's discovery family. p.293 gives the step-up procedure and Theorem 1. p.295 shows the stake concretely: among 15 comparisons Bonferroni and Hochberg each reject the same three and none is mortality, while the FDR procedure at q* = .05 rejects four including mortality at p = .0095 against a threshold of .013","validity under dependence, and confirmatory use. Theorem 1 at p.293 is proved for independent test statistics; the remark there relaxes independence only for the statistics attached to the false nulls, so a dependent family is outside what this paper establishes and the analyst must justify the dependence structure separately under CORE-M01. The 1995 paper contains no dependence-robust variant. p.291 and p.298 also make clear that FDR control delivers familywise control only weakly, so a rejection surviving this procedure does not discharge the strong familywise requirement a confirmatory claim carries and stays EXPLORATORY under this rule"
GOV-VERSION01,Semantic Versioning specification,TECHNICAL_STANDARD,2013,"Semantic Versioning 2.0.0, specification item 3","semver.org, SemVer 2.0.0 spec item 3; increment rule in the summary and items 8-10",https://semver.org/spec/v2.0.0.html,YES,the immutability of an already-published version identifier,TRANSFERABLE_WITH_ADAPTATION,"SemVer 2.0.0 item 3 states that once a versioned package has been released the contents of that version must not be modified, and that any modification must be released as a new version. The spec repeats the point where it discusses correcting a broken release, saying it is unacceptable to modify versioned releases even then. That single rule is the whole of the borrowing, and it is what GOV-VERSION01 enforces mechanically through the fingerprint","this package's MAJOR/MINOR/PATCH boundary. SemVer item 1 requires the versioned thing to declare a public API, and its increment rule is defined by backward compatibility of that API. This package has no public API and sets its version classes by whether new required evidence is added, a local rule stated in Index section 8. SemVer supports nothing about fingerprints, fixity, manifests or provenance"
GOV-TRANSCRIPT01,"W3C, PROV-DM - The PROV Data Model",TECHNICAL_STANDARD,2013,"W3C Recommendation 30 April 2013; section 1 Introduction; section 2.1 PROV Core Structures with 2.1.1 Entity and Activity, 2.1.2 Derivation, 2.1.3 Agents and Responsibility; sections 2.2.1.2 and 5.3.3 Association and Plan; section 1.1 Compliance",W3C Recommendation REC-prov-dm-20130430; core triple at section 2.1; plan at sections 2.2.1.2 and 5.3.3; normative scope at section 1.1,https://www.w3.org/TR/2013/REC-prov-dm-20130430/,YES,"the vocabulary for recording what was produced, by what activity, by whom and when",TRANSFERABLE_WITH_ADAPTATION,"section 1 defines provenance as a record of the people, institutions, entities and activities involved in producing, influencing or delivering something, and section 2.1 fixes the three core types as entity, activity and agent, an agent being whatever bears responsibility. That triple is why this skill records the artifact, the step that produced it and the owner rather than one free-text note. Section 5.3.3 supplies a second and more directly useful element: a plan is an entity representing the actions intended by an agent, and recording the plan explicitly allows the execution to be validated against it. A frozen specification in this skill is exactly such a plan entity, which is the precedent for checking a run against its freeze rather than against memory","that this package implements PROV, and that section 2 is normative. Section 1.1 restricts the normative sections to 1.1, 1.3, 5 and Appendix A, so the overview introducing the core triple is itself informative and only the section 5 definitions bind. PROV-DM specifies no serialisation; RDF, OWL and XML live in PROV-O and PROV-XML. Section 2.1.2 says PROV does not specify the conditions under which a derivation holds, and validity constraints are deferred to PROV-CONSTRAINTS, so nothing here certifies that a provenance record is correct"
EMP-DATA09A,"Little & Rubin, Statistical Analysis with Missing Data, 3rd ed.",TEXTBOOK,2020,Chs.3–5,Ch.3 §3.2; Chs.4–5,10.1002/9781119482260; ISBN 9780470526798,YES,missingness mechanism and estimand justification for imputation/selection decisions,TRANSFERABLE_WITH_ADAPTATION,Selection/imputation choices should be justified by the missingness mechanism and inferential target.,"The exact ScholarOps freeze fields are an engineering adaptation, not a verbatim textbook procedure."
EMP-DATA09B,"Little & Rubin, Statistical Analysis with Missing Data, 3rd ed.",TEXTBOOK,2020,Chs.3–5,"Chs.3–5, especially uncertainty treatment in Ch.5",10.1002/9781119482260; ISBN 9780470526798,YES,validation of missing-data handling against the downstream estimand,TRANSFERABLE_WITH_ADAPTATION,Missing-data methods must be evaluated against the inferential target and account for missingness uncertainty.,ScholarOps masking designs and downstream-estimand validation tables are local implementation choices.
EMP-PANEL02,"Hasbrouck, Empirical Market Microstructure",TEXTBOOK,2007,§1.4 Econometric Issues,p.6,Oxford University Press ISBN 978-0-19-530164-9,YES,effective information in high-frequency/microstructure samples,TRANSFERABLE_WITH_ADAPTATION,"Large row counts can coexist with short calendar span, dependence and misspecification risk.",Does not provide a universal minimum cluster count or generic panel estimator.
EMP-SAMPLE04,"Wooldridge, Econometric Analysis of Cross Section and Panel Data, 2nd ed.",TEXTBOOK,2010,Ch.20 Cluster Sampling,p.863 onward,MIT Press ISBN 978-0-262-23258-6,YES,independent cluster/event structure for inference,TRANSFERABLE_WITH_ADAPTATION,Inference must respect the independent sampling/cluster structure rather than raw row count when dependence is material.,Does not prescribe a universal sample-size cutoff.
